                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6445,                 4.9734,                 3.6902,                  0.116,                   0.06,                0.03328,                0.01429,                 2.9318,                 3.7268,                  3.087,             0.00066323,             0.00066323,             0.00066323
                      2,                 2.6341,                 2.7377,                 2.4831,                0.76642,                0.39392,                0.41482,                 0.1449,                 2.3582,                  2.567,                  2.423,              0.0013167,              0.0013167,              0.0013167
                      3,                 2.2298,                 2.0468,                 2.0399,                0.76631,                   0.46,                0.56366,                0.22591,                 2.1906,                 1.9143,                 2.2166,               0.001957,               0.001957,               0.001957
                      4,                 2.0196,                 1.7829,                 1.8913,                0.76418,                    0.6,                  0.683,                0.31065,                 1.8824,                 2.2151,                 2.0061,              0.0019406,              0.0019406,              0.0019406
                      5,                  1.851,                  1.622,                 1.7615,                0.75006,                   0.64,                0.70094,                0.32668,                 1.9489,                 1.7315,                  1.989,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.7482,                 1.5074,                 1.6801,                0.75141,                    0.6,                0.65932,                0.34563,                 1.7385,                 2.0188,                  1.835,               0.001901,               0.001901,               0.001901
                      7,                 1.6798,                 1.4073,                 1.6124,                0.73407,                   0.64,                0.73371,                0.42365,                 1.6437,                 1.4693,                 1.7168,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.6001,                 1.3646,                 1.5615,                0.89701,                   0.66,                0.79683,                0.44079,                  1.676,                 1.3768,                 1.7004,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.5421,                 1.3271,                  1.532,                0.75094,                   0.76,                0.77809,                0.43767,                 1.6105,                 1.3396,                 1.6997,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.4961,                 1.2676,                 1.4881,                0.85374,                0.70049,                0.79653,                0.47042,                 1.5835,                 1.2168,                 1.6192,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.4573,                  1.223,                 1.4568,                0.71531,                   0.76,                0.79774,                0.47308,                 1.3787,                 1.1893,                 1.5017,               0.001802,               0.001802,               0.001802
                     12,                 1.4053,                 1.1557,                 1.4085,                0.82792,                    0.8,                0.82953,                0.52404,                 1.3394,                 1.2534,                 1.4201,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.3748,                 1.1307,                 1.4025,                 0.7794,                    0.7,                0.77329,                0.47645,                 1.3499,                 1.3308,                 1.5119,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.3246,                 1.0989,                  1.371,                0.80748,                   0.72,                0.82512,                0.54743,                 1.2289,                 1.2356,                 1.3794,              0.0017426,              0.0017426,              0.0017426
