                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5816,                 5.0008,                 3.8171,                 0.1925,                 0.1612,                0.10088,                0.03326,                   2.64,                 2.9624,                 3.6568,              0.0033283,              0.0033283,              0.0033283
                      2,                 2.2713,                 2.0911,                 2.2786,                0.48003,                0.41393,                0.39497,                0.17134,                 2.2597,                 2.3734,                 2.9095,              0.0065957,              0.0065957,              0.0065957
                      3,                 1.9257,                  1.673,                 1.8804,                0.66455,                 0.4597,                0.50754,                0.23679,                 2.0825,                 1.9905,                 2.7301,              0.0097971,              0.0097971,              0.0097971
                      4,                 1.7564,                 1.4842,                 1.7154,                0.65821,                0.48634,                0.54585,                0.27614,                  1.944,                 2.0123,                  2.537,               0.009703,               0.009703,               0.009703
                      5,                 1.6365,                 1.3192,                  1.616,                0.74221,                0.50739,                0.59605,                0.32476,                 1.8148,                 1.6826,                 2.4005,               0.009604,               0.009604,               0.009604
                      6,                 1.5551,                 1.2508,                 1.5473,                0.74034,                0.57062,                0.66118,                0.36559,                 1.6997,                 1.5612,                 2.2655,               0.009505,               0.009505,               0.009505
                      7,                 1.5021,                 1.1787,                 1.5121,                0.76178,                0.61339,                0.70593,                0.39576,                 1.6227,                 1.4974,                 2.2497,               0.009406,               0.009406,               0.009406
                      8,                 1.4675,                 1.1329,                 1.4786,                0.78449,                0.61066,                0.70719,                0.41217,                 1.5832,                  1.455,                 2.1684,               0.009307,               0.009307,               0.009307
                      9,                 1.4287,                 1.0927,                 1.4544,                0.80332,                0.57582,                0.70188,                0.40035,                 1.5838,                 1.4193,                 2.1629,               0.009208,               0.009208,               0.009208
                     10,                 1.4042,                 1.0577,                 1.4282,                0.84472,                0.63661,                0.75422,                0.42182,                 1.6203,                 1.3561,                 2.2277,               0.009109,               0.009109,               0.009109
                     11,                 1.3872,                  1.039,                 1.4172,                0.79731,                0.64617,                0.75545,                0.43793,                 1.4941,                 1.2618,                  2.119,                0.00901,                0.00901,                0.00901
                     12,                 1.3676,                 1.0101,                 1.3913,                0.80906,                0.64251,                0.75048,                0.43825,                 1.4802,                 1.3619,                 2.0954,               0.008911,               0.008911,               0.008911
                     13,                 1.3306,                0.97809,                 1.3794,                0.83912,                0.63772,                0.78029,                0.46458,                 1.4871,                 1.2684,                 2.0347,               0.008812,               0.008812,               0.008812
                     14,                 1.3328,                0.98097,                 1.3839,                0.83023,                 0.6514,                0.78136,                0.46462,                  1.447,                 1.1914,                 2.0418,               0.008713,               0.008713,               0.008713
                     15,                 1.3255,                0.96112,                 1.3667,                 0.8105,                0.67691,                0.78366,                0.46737,                 1.4761,                  1.184,                 2.0917,               0.008614,               0.008614,               0.008614
                     16,                 1.3096,                0.95774,                 1.3578,                0.82617,                0.67527,                0.79222,                0.48224,                 1.4223,                 1.1811,                 2.0204,               0.008515,               0.008515,               0.008515
                     17,                 1.2848,                0.93779,                 1.3533,                0.85933,                0.64822,                0.80462,                0.50086,                 1.3738,                 1.1464,                 1.9862,               0.008416,               0.008416,               0.008416
                     18,                 1.2816,                0.92663,                 1.3464,                0.79289,                0.71391,                0.81668,                0.48585,                 1.4036,                 1.1137,                 2.0388,               0.008317,               0.008317,               0.008317
                     19,                 1.2708,                0.91121,                 1.3305,                0.84999,                0.71721,                0.82076,                0.50887,                 1.3754,                 1.0945,                 1.9896,               0.008218,               0.008218,               0.008218
                     20,                  1.266,                0.90152,                 1.3185,                0.80356,                0.74325,                0.81172,                0.49722,                 1.3754,                 1.0793,                 1.9631,               0.008119,               0.008119,               0.008119
                     21,                 1.2634,                0.88268,                 1.3278,                0.81268,                0.72609,                0.82147,                0.50591,                 1.3468,                 1.0782,                 1.9383,                0.00802,                0.00802,                0.00802
                     22,                 1.2524,                0.88695,                 1.3182,                0.84783,                0.71858,                0.82452,                0.51073,                 1.3576,                 1.0963,                 1.9211,               0.007921,               0.007921,               0.007921
                     23,                 1.2396,                 0.8712,                 1.3096,                0.80999,                0.74727,                0.82212,                 0.5029,                 1.3621,                 1.0686,                   1.97,               0.007822,               0.007822,               0.007822
                     24,                 1.2314,                0.85533,                 1.3027,                0.85512,                0.73429,                 0.8328,                0.51903,                 1.3098,                 1.0557,                 1.8772,               0.007723,               0.007723,               0.007723
                     25,                 1.2223,                0.84009,                 1.2968,                 0.8636,                0.74817,                0.84817,                0.52414,                  1.327,                 1.0073,                  1.938,               0.007624,               0.007624,               0.007624
                     26,                 1.2172,                0.85058,                 1.2936,                0.86194,                0.74317,                0.84616,                0.51679,                 1.3194,                 1.0232,                 1.9088,               0.007525,               0.007525,               0.007525
                     27,                 1.2126,                0.83988,                 1.2969,                0.87661,                0.73429,                0.83833,                0.52851,                 1.2945,                 1.0253,                 1.8603,               0.007426,               0.007426,               0.007426
                     28,                 1.2061,                0.83053,                 1.2927,                0.85122,                0.72691,                0.82433,                0.50908,                 1.3174,                 1.0378,                 1.8796,               0.007327,               0.007327,               0.007327
                     29,                 1.2057,                0.83472,                 1.2897,                0.83523,                0.73907,                0.83817,                  0.519,                  1.333,                 1.0367,                 1.9108,               0.007228,               0.007228,               0.007228
                     30,                 1.1932,                0.82288,                 1.2787,                0.85653,                 0.7138,                0.83061,                0.51907,                 1.3132,                 1.0183,                 1.9157,               0.007129,               0.007129,               0.007129
                     31,                 1.1837,                0.81041,                  1.269,                0.84663,                0.75205,                0.84756,                0.53268,                 1.2864,                  1.008,                  1.868,                0.00703,                0.00703,                0.00703
                     32,                 1.1889,                0.80894,                 1.2746,                0.86924,                0.76282,                 0.8532,                0.53048,                 1.3031,                 1.0078,                 1.8884,               0.006931,               0.006931,               0.006931
                     33,                 1.1717,                0.79353,                  1.268,                0.84848,                0.76093,                0.84736,                 0.5296,                 1.3033,                 1.0065,                 1.8709,               0.006832,               0.006832,               0.006832
                     34,                  1.177,                0.80148,                 1.2597,                0.87316,                0.75703,                0.85755,                0.54095,                  1.295,                0.94053,                 1.8813,               0.006733,               0.006733,               0.006733
                     35,                 1.1669,                0.79179,                 1.2634,                0.87992,                0.78415,                0.87761,                0.56102,                 1.2461,                0.89385,                 1.8249,               0.006634,               0.006634,               0.006634
                     36,                 1.1547,                0.77848,                 1.2525,                 0.8628,                0.77527,                0.86859,                0.54816,                 1.2683,                0.92785,                 1.8628,               0.006535,               0.006535,               0.006535
                     37,                 1.1642,                 0.7852,                 1.2586,                0.87532,                0.78167,                0.86831,                0.54302,                 1.2695,                0.90192,                 1.8959,               0.006436,               0.006436,               0.006436
                     38,                 1.1521,                0.77457,                 1.2457,                 0.8726,                0.76366,                0.86294,                0.54824,                 1.2754,                0.92094,                 1.8397,               0.006337,               0.006337,               0.006337
                     39,                 1.1504,                0.76639,                 1.2427,                0.87555,                0.77848,                0.86634,                0.54373,                 1.2803,                0.93778,                 1.8588,               0.006238,               0.006238,               0.006238
                     40,                 1.1384,                0.75741,                 1.2363,                0.88215,                0.78232,                 0.8771,                 0.5581,                   1.27,                0.87839,                 1.8395,               0.006139,               0.006139,               0.006139
                     41,                 1.1476,                0.76486,                 1.2402,                0.87421,                0.78347,                0.86888,                0.55326,                 1.2487,                 0.9118,                 1.8203,                0.00604,                0.00604,                0.00604
                     42,                 1.1377,                0.76182,                 1.2419,                0.86855,                0.78078,                 0.8646,                0.55059,                 1.2547,                 0.9025,                 1.8378,               0.005941,               0.005941,               0.005941
                     43,                 1.1298,                0.74676,                 1.2382,                0.88937,                0.75775,                0.86095,                0.54659,                 1.2582,                 0.9135,                 1.8343,               0.005842,               0.005842,               0.005842
                     44,                 1.1353,                0.74674,                 1.2402,                0.88923,                0.78074,                 0.8756,                 0.5549,                 1.2289,                0.89154,                 1.8074,               0.005743,               0.005743,               0.005743
                     45,                 1.1245,                0.74075,                 1.2331,                0.86558,                0.79577,                0.87512,                0.55397,                 1.2547,                0.86983,                 1.8247,               0.005644,               0.005644,               0.005644
                     46,                 1.1282,                0.73751,                 1.2346,                 0.8841,                0.79713,                0.87471,                0.55945,                 1.2383,                0.87393,                  1.813,               0.005545,               0.005545,               0.005545
                     47,                 1.1271,                0.73795,                 1.2339,                0.88359,                0.78806,                0.88164,                0.55859,                 1.2409,                0.86123,                 1.8184,               0.005446,               0.005446,               0.005446
                     48,                 1.1126,                0.72685,                 1.2205,                 0.8776,                0.79235,                0.88104,                0.56394,                 1.2188,                0.86664,                 1.7977,               0.005347,               0.005347,               0.005347
                     49,                  1.115,                0.73079,                 1.2157,                0.86792,                0.80533,                0.87657,                0.56099,                 1.2148,                0.84715,                 1.7909,               0.005248,               0.005248,               0.005248
                     50,                 1.1138,                0.71698,                 1.2208,                0.88572,                0.79235,                0.87757,                0.56486,                 1.2262,                0.84208,                 1.8061,               0.005149,               0.005149,               0.005149
                     51,                 1.0996,                 0.7148,                 1.2145,                0.89429,                0.79166,                0.88408,                0.56715,                 1.2196,                0.84927,                 1.7899,                0.00505,                0.00505,                0.00505
                     52,                 1.1069,                0.71693,                 1.2135,                0.89548,                0.79372,                0.87848,                0.56587,                 1.2216,                0.85355,                 1.7881,               0.004951,               0.004951,               0.004951
                     53,                 1.0961,                 0.7056,                 1.2122,                0.88228,                0.80377,                0.87672,                0.56384,                 1.2239,                0.85214,                 1.7868,               0.004852,               0.004852,               0.004852
                     54,                 1.0935,                0.71252,                 1.2109,                0.90513,                0.78962,                0.88507,                0.57132,                  1.228,                0.82705,                  1.802,               0.004753,               0.004753,               0.004753
                     55,                 1.0924,                   0.71,                 1.2111,                0.89227,                 0.7985,                0.88911,                0.57424,                 1.2192,                0.83266,                 1.7888,               0.004654,               0.004654,               0.004654
                     56,                 1.0843,                0.70117,                 1.2035,                0.88763,                0.80394,                0.87987,                0.56579,                 1.2196,                0.83629,                 1.7894,               0.004555,               0.004555,               0.004555
